ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
11213,63767,11267,44122,152,542,12,216,949,6507,43268,460,23031,15192,Brooklyn,NY
11214,88630,46107,779,65,28562,16,204,1074,11823,90104,566,76796,9994,Brooklyn,NY
11215,63488,42730,3239,62,3948,16,302,1848,11343,897509,5721,730260,52548,Brooklyn,NY
11216,54316,5625,39581,124,1601,12,234,1243,5896,97472,1503,90108,0,Brooklyn,NY
11217,35881,17961,7250,76,2143,9,136,1114,7192,507670,2900,460331,10750,Brooklyn,NY
11218,75220,37192,6569,150,13951,11,534,1685,15128,138204,1877,124064,6475,Brooklyn,NY
11219,92221,58646,742,45,20896,6,217,799,10870,116677,217,46067,34822,Brooklyn,NY
11220,99598,14645,1624,144,41165,13,222,1132,40653,129018,834,85413,9365,Brooklyn,NY
11221,78895,3721,40934,206,1567,22,260,1019,31166,71138,1254,62082,5783,Brooklyn,NY
11222,36934,27946,635,50,1785,11,169,636,5702,139367,1737,125668,6180,Brooklyn,NY
11223,78731,47821,2834,73,16561,9,132,1019,10282,137010,577,65237,43891,Brooklyn,NY
11224,47621,24791,10604,84,2821,5,80,560,8676,21149,157,12806,8035,Brooklyn,NY
11225,56829,8126,40562,131,817,15,213,1120,5845,89261,1014,72558,8386,Brooklyn,NY
11226,101572,6005,72591,282,2930,31,483,1841,17409,102379,1325,90713,8665,Brooklyn,NY
11228,41788,26390,201,25,10182,9,63,446,4472,63598,293,40258,21861,Brooklyn,NY
11229,80018,53799,3937,51,14532,9,185,1054,6451,76450,744,49712,11277,Brooklyn,NY
11230,86408,58372,6669,133,11137,9,291,1200,8597,204220,928,128694,46864,Brooklyn,NY
11231,33336,19615,4254,58,1383,12,108,801,7105,429156,2135,351413,41874,Brooklyn,NY
11232,28265,5504,1334,45,4512,17,104,410,16339,35655,496,30213,2000,Brooklyn,NY
11233,67053,1334,53898,253,550,3,194,1086,9735,41825,416,31040,5001,Brooklyn,NY
11234,87757,38632,35557,162,4072,18,372,1374,7570,167894,610,113179,38945,Brooklyn,NY
11235,79132,58274,1492,82,10097,11,241,1035,7900,113365,614,88291,21358,Brooklyn,NY
11236,93877,5066,77175,200,2319,8,355,1396,7358,84425,389,68816,13285,Brooklyn,NY
11237,49896,5768,3581,75,3354,9,360,497,36252,67398,962,60300,1425,Brooklyn,NY
11238,49262,16670,22210,85,2660,22,243,1689,5683,337147,3205,312622,7730,Brooklyn,NY
11239,13393,3294,7068,29,389,2,37,184,2390,4149,43,4086,123,Brooklyn,NY
